region,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Algonquin,0,4,0,2,0,0,0,0,0,0
Atikokan - Upsala - Quetico,2,2,0,4,0,1,0,0,0,0
Attawapiskat,0,3,0,2,0,1,0,0,0,0
Bancroft - Bon Echo Park,0,2,0,2,0,0,0,0,0,0
Barrie - Orillia - Midland,0,2,0,2,0,0,0,0,0,0
Belleville - Quinte - Northumberland,1,4,1,3,0,0,1,0,3,0
Big Trout Lake - Sachigo Lake,4,6,0,2,0,1,0,1,0,1
Brockville - Leeds and Grenville,0,2,0,2,0,0,0,0,0,0
Burk's Falls - Bayfield Inlet,0,3,0,2,0,0,1,0,0,0
Chapleau - Gogama,0,3,0,2,0,1,0,0,0,0
City of Hamilton,0,5,2,4,0,0,2,2,2,0
City of Ottawa,0,2,0,2,0,0,0,0,0,0
City of Thunder Bay,1,2,0,2,0,0,0,0,0,1
City of Toronto,1,4,3,3,2,1,2,2,3,3
Cornwall - Morrisburg,0,2,0,2,0,0,0,0,0,0
Dryden - Ignace,3,4,0,3,0,1,2,0,0,0
Dufferin - Innisfil ,0,2,1,3,0,0,0,0,0,0
Dunnville - Caledonia - Haldimand,0,5,1,3,0,0,2,0,1,0
Elgin,0,4,2,3,1,0,4,0,2,0
Elliot Lake - Ranger Lake ,0,3,0,2,0,0,0,0,0,0
Fort Frances - Rainy Lake,3,2,0,5,0,1,2,0,0,1
Fort Hope - Webequie,3,3,0,2,1,1,1,0,0,0
Fort Severn,3,4,0,2,0,1,0,1,0,1
Geraldton - Manitouwadge - Hornepayne,1,3,0,2,1,1,0,0,0,0
Greater Sudbury and Vicinity ,0,3,0,2,0,0,1,0,0,0
Grey - Bruce,0,3,2,2,0,0,2,0,4,0
Haliburton,0,3,0,2,0,0,0,0,0,0
Halton - Peel,1,4,3,3,2,0,2,2,3,2
Huron - Perth,1,5,3,3,2,0,2,0,4,0
Kapuskasing - Hearst,1,3,0,2,0,1,0,0,0,0
Kenora - Nestor Falls,4,4,0,6,0,1,2,1,0,1
Kingston - Prince Edward,1,4,0,3,0,0,0,0,2,0
Kirkland Lake - Temiskaming Shores - Temagami,0,3,0,2,0,0,2,0,0,0
Lake Nipigon - Wabakimi,2,3,0,2,0,1,0,0,0,0
London - Middlesex,0,4,1,3,1,0,3,0,2,0
Manitoulin - Blind River - Killarney,0,3,0,2,0,0,1,0,0,0
Moosonee - Fort Albany,0,3,0,2,0,1,0,0,0,0
Niagara,0,4,1,3,0,0,2,0,1,0
Nipigon - Marathon - Superior North,1,1,0,2,0,0,0,0,0,0
North Bay - West Nipissing ,0,3,0,2,0,0,2,0,0,0
Oxford - Brant,0,5,1,3,0,0,2,0,2,0
Parry Sound - Muskoka,0,2,0,2,0,0,1,0,0,0
Peawanuck,1,2,0,2,0,1,0,0,0,0
Peterborough - Kawartha Lakes ,1,3,1,3,0,0,1,0,2,0
Pickle Lake - Wunnummin Lake,5,5,0,3,1,2,3,0,0,0
Prescott and Russell ,0,2,0,2,0,0,0,0,0,0
Red Lake - Ear Falls,4,5,0,6,1,2,4,1,0,1
Renfrew - Pembroke - Barry's Bay ,0,3,0,2,0,0,0,0,0,0
Sandy Lake - Pikangikum,6,6,0,4,1,2,6,3,0,1
Sarnia - Lambton,1,5,3,5,4,1,6,2,4,2
Sault Ste. Marie - Superior East,0,2,0,2,0,0,0,0,0,0
Simcoe - Delhi - Norfolk,0,5,1,3,0,0,2,0,2,0
Sioux Lookout - Savant Lake,3,4,0,3,0,1,3,0,0,0
Smiths Falls - Lanark - Sharbot Lake,0,2,0,2,0,0,0,0,0,0
Stirling - Tweed - South Frontenac,0,2,0,3,0,0,0,0,0,0
Superior West,1,2,0,2,0,1,0,0,0,1
Timmins - Cochrane,0,3,0,2,0,1,1,0,0,0
Waterloo - Wellington,0,3,2,3,0,0,2,0,1,0
Wawa - White River - Pukaskwa,1,2,0,2,0,0,0,0,0,0
Windsor - Essex - Chatham - Kent,1,6,3,3,4,0,6,1,8,1
York - Durham,1,4,3,3,2,0,2,2,4,1
ONTARIO,9,12,4,9,6,4,15,7,10,7
